date,value
2021-02-23 20:24:42 +0000,OrderedDict()
2021-02-24 20:12:00 +0000,OrderedDict()
2021-02-25 19:23:54 +0000,OrderedDict()
2021-02-26 19:22:45 +0000,OrderedDict()
2021-02-27 19:22:04 +0000,OrderedDict()
2021-02-28 19:26:02 +0000,OrderedDict()
2021-03-01 19:21:07 +0000,OrderedDict()
2021-03-02 19:18:40 +0000,OrderedDict()
2021-03-03 19:28:17 +0000,OrderedDict()
2021-03-04 19:14:18 +0000,OrderedDict()
2021-03-05 19:21:02 +0000,OrderedDict()
2021-03-06 19:21:30 +0000,OrderedDict()
2021-03-07 19:17:15 +0000,OrderedDict()
2021-03-08 19:18:50 +0000,OrderedDict()
2021-03-09 19:20:36 +0000,OrderedDict()
2021-03-10 20:23:07 +0000,OrderedDict()
2021-03-11 19:51:51 +0000,OrderedDict()
2021-03-12 19:54:46 +0000,OrderedDict()
2021-03-13 19:49:21 +0000,OrderedDict()
2021-03-14 19:47:44 +0000,OrderedDict()
2021-03-15 19:53:21 +0000,OrderedDict()
2021-03-16 19:45:46 +0000,OrderedDict()
2021-03-17 19:54:10 +0000,OrderedDict()
2021-03-18 19:41:10 +0000,OrderedDict()
2021-03-19 19:42:06 +0000,OrderedDict()
2021-03-20 19:38:39 +0000,OrderedDict()
2021-03-21 19:49:20 +0000,OrderedDict()
2021-03-22 19:45:35 +0000,OrderedDict()
2021-03-23 19:39:22 +0000,OrderedDict()
2021-03-24 19:46:28 +0000,OrderedDict()
2021-03-25 20:02:44 +0000,OrderedDict()
2021-03-26 19:46:27 +0000,OrderedDict()
2021-03-27 19:38:40 +0000,OrderedDict()
2021-03-28 19:43:28 +0100,OrderedDict()
2021-03-29 19:45:40 +0100,OrderedDict()
2021-03-30 19:14:32 +0100,OrderedDict()
2021-03-31 19:14:43 +0100,OrderedDict()
2021-04-01 19:18:43 +0100,OrderedDict()
2021-04-02 19:19:31 +0100,OrderedDict()
2021-04-03 19:16:57 +0100,OrderedDict()
2021-04-04 19:18:56 +0100,OrderedDict()
2021-04-05 19:16:58 +0100,OrderedDict()
2021-04-06 19:19:56 +0100,OrderedDict()
2021-04-07 19:21:11 +0100,OrderedDict()
2021-04-08 19:19:58 +0100,OrderedDict()
2021-04-09 19:22:47 +0100,OrderedDict()
2021-04-10 19:14:28 +0100,OrderedDict()
2021-04-11 19:19:57 +0100,OrderedDict()
2021-04-12 19:19:59 +0100,OrderedDict()
2021-04-13 19:18:25 +0100,OrderedDict()
2021-04-14 19:20:18 +0100,OrderedDict()
2021-04-15 19:20:45 +0100,OrderedDict()
