name,title,publisher_frequency,publisher_frequency_select,publisher_implementation_schedule,publisher_ui,publisher_field_exclusions,publisher_contact,image_url,display_name,publisher_iati_id,publisher_units,publisher_record_exclusions,publisher_data_quality,publisher_country,publisher_description,publisher_refs,publisher_thresholdspublisher_agencies,publisher_constraints,publisher_organization_type,publisher_segmentation,license_id,state,publisher_timeliness
jrf,Jordan River Foundation,0,annually,0,0,0,"36, Masoud Ben Saad Street, 
Amman-Jordan
+962 65933211",https://jrforgjo.sharepoint.com/sites/JRF-Dewan/SiteAssets/SitePages/JRF-Dewan/1593832395JRF%20LOGO.png,0,XM-OCHA-HPC3664,Projects ,0,Expenditure/disbursements published during the year will be subject to internal verification. Budgets may be subject to operational change.,JO,"Chaired by Her Majesty Queen Rania Al Abdullah, the Jordan River Foundation (JRF) is a non-profit, non-governmental organization established in 1995 with a focus on child safety and community empowerment.

Driven by values of social justice, impactful interventions to alleviate poverty, and socio-economic empowerment - focusing on women and youth, JRF implements various programs to achieve its mission of transforming Jordanian communities.

It has been a major player in Jordan’s social and economic development, bringing forth over 20 years of experience to local community empowerment and child safety. JRF has also been supporting homegrown solutions that engage Jordanians and help them address local challenges. Most importantly, JRF places the wellbeing of children at the center of its development initiatives
",0,0,0,22,0,odc-by,active,0
ccihp,Center for Creative Initiatives in Health and Population,0,not_specified,0,0,0,0,0,0,VN-MOST-A794,0,0,0,VN,0,0,0,0,21,0,cc-by,active,0
doe,United States Department of Energy,0,quarterly,0,Yes. IATI data are available at foreignassistance.gov,0,"1000 Independence Ave. SW, Washington, DC 20585",https://pbs.twimg.com/profile_images/875374673470664704/Hr9dUs2u_400x400.jpg,0,US-GOV-20,0,"It is the policy of the U.S. Government, per OMB Bulletin 12-01, and the Foreign Aid Transparency and Accountability Act of 2016 (FATAA) for agencies to have a strong presumption in favor of openness. FATAA provides the following principled exceptions: 1) When public disclosure threatens national security interests; 2) When public disclosure is likely to jeopardize the personal safety of U.S. personnel or recipients of U.S. resources; 3) When there are legal constraints on the disclosure of business or proprietary information of non-governmental organizations, contractors, or private sector clients; or 4) When data reveal private information about individuals that must be kept confidential consistent with ethical guidelines and federal regulations. When examining information that falls within these categories, USG agencies have sufficient flexibility to protect sensitive information from disclosure, on a case-by-case basis, in order to protect against potential harm while maintaining a strong presumption in favor of transparency.",0,US,0,"Published budget figures come from the Congressional Budget Justification - a document sent to Congress by the President in January or February of each year, as required by law (31 U.S.C. § 1105), requesting new budget authority for federal programs and estimating federal revenues and outlays for the upcoming fiscal year and 4 subsequent outyears. Although the title of the document is Budget of the U.S. Government, it represents proposals for congressional consideration. There is not a one-to-one link between budget figures and the financial data - commitments and disbursements - for a given year. The Congressional Budget Justification includes sectors specific to the U.S. Government. The budgets have been mapped to the Organisation for Economic Co-operation and Development - Development Assistance Committee (OECD/DAC) sector codes in order to improve international usability.",0,0,10,"Activities are disaggregated into separate files.  Activities that report only one recipient country or region are assigned to a single file under the country or region name.  Similarly, global activities reporting worldwide as the recipient region will be assigned to a worldwide file.  All other activities that report multiple countries and/or regions are assigned to the ‘multi-country’ file.  Currently, worldwide and multi-country files are split out so as to conform to the 40mb file size limit.",cc-zero,active,Within 90 days of fiscal quarter closure (U.S. Government’s fiscal year is October 1 - September 30.)
viva,Viva,Quarterly,0,0,None,We publish to DFID's minimum standards.,"Mark Stavers
Head of Support Services
Tel: +44 (1865) 811660
Fax: +44 (1865) 811661
Email: m.stavers@viva.org",0,0,GB-CHC-1053389,Single grants from DFID,None,As reported to DFID - largely final subject to correction if errors or omissions found.,GB,"We are inspiring lasting change in children’s lives through the power of collective action because we have a vision to see children safe, well and fulfilling their God-given potential. Overall, through 35 community networks in 21 countries, Viva is increasing the unity, quality and impact of work for children at risk, training 23,000 caregivers and changing the lives of over 987,000 children around the world.",None,0,None,21,A separate file per grant,other-at,active,"Information is generally published within one month of the end of each DFID quarter (March - May, June - August, September - November, December - February)."
pulsarint,Pulsar International,Quarterly.,0,0,NA,NA,"Louise Richmond / Steve Wiseman
136 York Street
Norwich
NR2 2AR
UK
+44 1603 467 639 / +44 771 921 5350
www.pulsarinternational.co.uk",http://www.pulsarinternational.co.uk/,0,GB-COH-8802432,1 activity file = 1 Country,There may be some considerations based on security issues - this is under consideration.,Our data will come from our management accounts.,GB,"Pulsar International sponsors and supports projects conceived by grassroots NGOs in southern (developing) countries; projects which create sustainable change for the world's most vulnerable people. 
 
All our projects are conceived by grassroots non-governmental organisations and the communities in which they serve -
our job is just to help make them happen.
 
In order to foster international mutual benefit we also aim to share our southern partners' experience, innovation
and community based solutions, with nonprofits in the UK.",NA,0,"We may have funding from a donor who wish to remain anonymous, in these circumstances we would only publish the amount rather than the source (although we would mention ""charitable trust"" or ""individual donor"").",21,NA,cc-by,active,Four weeks.
sayint,Sayara International,0,not_specified,0,0,0,0,0,0,US-EIN-47-5083432,0,0,0,US,"Sayara International is a social enterprise combining rigorous research and communication to create positive change in fragile and conflict-affected societies.   

Sayara provides complex monitoring, evaluation, research, and learning (MERL) and social and behavior change communication (SBCC) in the most challenging environments. We work on countering disinformation, measuring social cohesion, and assessing education, migration, inclusive governance, climate change, and health.",0,0,0,70,0,cc-by,active,0
tgsn,The Global Strategy Network,0,not_specified,0,0,0,0,https://uploads-ssl.webflow.com/624aab9e239a2eec1069e7f2/628d01f4cd175963b9627867_TGSN_Primary_Black.png,0,GB-COH-10433562,0,0,0,GB,"We are a team of field researchers, analysts, programme implementers, software and machine learning engineers, data scientists, and thought leaders dedicated to doing development differently.",0,0,0,70,0,cc-by-sa,active,0
kipkelion,Friends of Kipkelion,0,quarterly,0,0,0,"info@friendsofkipkelion.com
",https://scontent-lhr3-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/11181859_545624728939897_2809196152448383383_n.jpg?oh=555bbb6322eae825bfbeac8b3535b118&oe=569AB4B2,0,GB-CHC-1142476,0,0,0,KE,"Water health and education in Kipkelion, Kenya",0,0,0,23,0,notspecified,active,3 months
pmc,Population Media Center,0,not_specified,0,0,0,"Population Media Center
30 Kimball Ave #302
South Burlington, VT 05403
USA",http://www.populationmedia.org/wp-content/uploads/2018/02/PMC-Logo-Green-Mark-Only.png,0,US-EIN-030358029,0,0,0,US,"PMC is a US-based NGO specialized in social behavior change communication through mass media. Our entertainment-education methodology is designed to address deeply entrenched issues and achieve widespread, measurable behavior change. Since 1998, nearly 50 unique, long-running PMC dramas have reached half a billion people across the world. ",0,0,0,21,0,odc-by,active,0
psi,Population Service International,Quarterly.,quarterly,"Starting February 2013, PSI will begin publishing data",No.,0,"Alan Doyle
",0,0,XM-DAC-21032,PSI will publish all activities at the award level.  A project may have multiple facets (e.g.  multiple health areas or multiple countries) and these will be captured at the award level.,Exclusions include: PSI will not be publishing any data for activities until after receiving consent for this publication from the respective donors.  PSI will not be publishing historical data (i.e. data from before the date of Initial Implementation).  PSI will only report activities for which they are the prime recipient.,Unverified data will be published prior to verification through PSI's annual financial audits.,US,"PSI is a global health organization dedicated to improving the health of people in the developing world by focusing on serious challenges like a lack of family planning, HIV and AIDS, barriers to maternal health, and the greatest threats to children under five, including malaria, diarrhea, pneumonia and malnutrition.

A hallmark of PSI is a commitment to the principle that health services and products are most effective when they are accompanied by robust communications and distribution efforts that help ensure wide acceptance and proper use.

In each of its platforms, PSI works in partnership with local governments, ministries of health and local organizations – creating health solutions that are built to last.",0,0,0,21,"Single file.  PSI may track an award by country / countries / regions.  In cases where awards have been granted for a group of countries or a region, PSI will not breakdown the activity by country.  ",cc-by,active,"Data will be published quarterly, 45 days after the close of the quarter.  For example, reports for the period Jan-March will be published May 15."
hif,Health Insurance Fund,0,quarterly,0,0,0,"Paasheuvelweg 25 Tower B, 4th
1105BP 
Amsterdam
the Netherlands",0,0,NL-KVK-34234456,0,0,0,NL,HIF Project Management Office,0,0,0,21,0,other-open,active,Data will be published within 3 months after the end of the quarter
cbi,Climate Bonds Initiative,0,not_specified,0,0,0,"40 Bermondsey Street, London, SE1 3UD, UK",0,0,GB-CHC-1154413,0,0,0,0,0,0,0,0,21,0,uk-ogl,active,0
stad,Support Trust for Africa Development (STAD),0,quarterly,0,0,0,"Postbus 13089
2501 EB,  The Hague
The Netherlands",0,0,NL-KVK-27251823,0,0,0,NL,0,0,0,0,21,No,cc-by,active,One month
curatio,Curatio International Foundation,0,not_specified,0,0,0,"Chavchavadze Ave 37 d, Tbilis, Georgia",https://www.google.com/imgres?q=curatio%20international%20foundation%20logo&imgurl=https%3A%2F%2Fcuratiofoundation.org%2Fwp-content%2Fthemes%2FImpreza%2Fimg%2Fcuracio-logo.png&imgrefurl=https%3A%2F%2Fcuratiofoundation.org%2F&docid=3lOXv429R0OCEM&tbnid=ZORaREtossbGDM&vet=12ahUKEwiG0MnqjrGLAxXjQfEDHTssKcoQM3oECBwQAA..i&w=460&h=132&hcb=2&ved=2ahUKEwiG0MnqjrGLAxXjQfEDHTssKcoQM3oECBwQAA,0,GE-NAPR-367,0,0,0,GE,0,0,0,0,22,0,cc-by,active,0
ifoam,IFOAM - Organics International,0,quarterly,0,0,0,"Charles de Gaulle 5, 53113, Germany ",0,0,DE-CR-BonnVR8726,0,0,0,DE,"IFOAM – Organics International, is the organic agent of change for true sustainability in agriculture, value chains and consumption; working on behalf of its membership, the global organic movement in over 120 countries.
IFOAM – Organics International has been the global organic umbrella organization since 1972. From the early days of the pioneers (i.e.‘Organic 1.0’) to the forming of the organic movement and the codification of standards and enforced rules that have established organic with a market value of over US$80 billion per year (i.e. ‘Organic 2.0’). Now the organic movement is entering a new phase that we call ‘Organic 3.0‘. Organic 3.0 positions organic as a modern, innovative system that has positive impacts on global environmental and social challenges. It is the overall strategic plan of the global organic movement for further growth and sustainability in order to increase the positive impact on the planet and the people.",0,0,0,21,0,notspecified,active,0
addinternational,ADD International (Action on Disability and Development),0,quarterly,0,Currently under consideration.,Under review,"ADD International, The Old Church School, Butts Hill, Frome, BA11 1HR, United Kingdom ",http://aidstream.org/uploads/image/ADD%20logo.gif,0,GB-COH-294860,"Activies are currently defined as either:

*  ADD country programme support to disabled people's organizations (DPOs);

*  Grants to strategic partners","Exclusions apply when:

* donor anonimity has been agreed

* the staff, work and assets of ADD International, its partners or beneficiaries might be put at risk

* data is commercially sensitive (e.g. tendering)

* data relates to organizational plans under development",Expenditure/disbursements published during the year will be subject to internal verification.  Budgets may be subject to operational change.,GB,"ADD International supports disabled people in Africa and Asia to challenge disability discrimination.   This is achieved through:

1) ADD country programmes providing technical and financial support to disabled people's organizations; and

2) ADD UK providing financial support to strategic partner organizations.",Not yet developed,0,"ADD International is a small INGO with limited resources.  Information beyond the minimum IATI requirement that is readily available from the organization's systems will be published, subject to the exclusions above.  Data that can only be produced by increased resources will not be published, as this will merely add to the organization's overheads and divert funds away from our target beneficiaries.",21, ADD programmes are coterminous with the countries/regions they serve. ,other-at,active,0
swda,siiqqee Women's Development Association,0,not_specified,0,0,0,"Addis Ababa, Nifas Silk Lafto Sub City, woreda 02, Guinea Bissau St.
Sub-city Lafto.  Office
",0,0,ET-CSA-0081,0,0,0,ET,0,0,0,0,22,0,cc-by,active,0
tpi,The Partnering Initiative,0,not_specified,0,0,0,"The Old Music Hall
106-108 Cowley Road
Oxford
OX4 1JE",https://www.thepartneringinitiative.org/wp-content/uploads/2020/11/TPI-Logo-Vector.svg,0,GB-COH-08528402,0,0,0,GB,"TPI's mission is to unleash the power of partnership for a prosperous and sustainable future. It does this through cutting-edge action research, building individual and organisational capacity to partner with excellence, the development of partnering standards and building the platforms and structures globally required to mainstream collaboration.",0,0,0,21,0,odc-pddl,active,0
itforchange,IT for Change,0,not_specified,0,0,0,"#393, 17th Main Road, 35th Cross, Jayanagar 4th 'T' Block, Bangalore, Karnataka - 560041",0,0,IN-MHA-094421114,0,0,0,IN,0,0,0,0,80,0,cc-by-sa,active,0
creawkenya,Centre for Rights Education and Awareness,0,not_specified,0,0,0,0,https://home.creaw.org/wp-content/uploads/2019/07/logo-creaw.jpg,0,KE-NCB-OP-218-051-9994-1329,0,0,0,KE,0,0,0,0,22,0,cc-by,active,0
cispngo,Comitato Internazionale per lo Sviuppo dei Popoli,0,not_specified,0,0,0,"Via Germanico 198, 00192 Rome - Italy",https://www.developmentofpeoples.org/templates/rt_cisp/custom/images/logos/logo.jpg,0,IT-CF-97050280581,0,0,0,IT,"The International Committee for the Development of Peoples (Comitato internazionale per lo Sviluppo dei Popoli - CISP) is a civil society Organisation that has been engaged in international cooperation and the fight against social exclusion since 1983. 
In the last 40+ years of operation, we have been present in every region of the world. Today, the CISP is active in more than 30 countries with initiatives for the affirmation of fundamental rights and social inclusion, the fight against inequalities and social injustice, the creation of economic and social opportunities as well as the protection of marginalised people.
We have achieved important goals, the most crucial of which is to have supported millions of people in their pursuit of self-determination. Women, children, elderly, men and communities that do not give in to marginality, violence, food insecurity and a lack of rights. Together with these people, their communities, associations, local authorities and institutions, we have built schools and trained teachers, innovated education systems, strengthened food security through diversification of income sources and micro-credit and improved agricultural production by small-scale producers. We have also contributed to the definition and implementation of public policies so that they take into account the needs and rights of the least protected sections of the population, promoted laws to protect the weakest and brought drinking water to places where there had never been any.
In 2018, we updated our Declaration of Intent - Rights, Change, Sustainability - incorporating all the strategic guidelines of the 2030 Agenda as well as each of its Sustainable Development Goals. There are two basic guidelines of the 2030 Agenda on which we are focusing in practice: the need to address sustainability in all its dimensions (environment, society, economy, institutions) and the need to combat poverty and social exclusion as interdependent objectives.
",0,0,0,21,0,cc-by,active,0
eco-fuelafrica,Eco-fuel Africa Limited,0,six_monthly,0,Data will be accessible for end users through our website,0,"P.O Box 23 Lugazi Town Council, Buikwe District, Uganda
Telephone: +256782660631 / +256702660631",0,0,eco-fuelafrica,Project and Activities,0,Verified,UG,"Imagine a world where marginalized communities in Africa no longer have to deplete forests for fuel-wood and income, where young girls in Africa no longer have to miss school to gather fuel-wood and where marginalized communities have access to clean and sustainable fuel made from locally sourced biomass? Imagine no more because this is the world that Eco-fuel Africa is creating in Uganda, East Africa!","www.ecofuelafrica.co.ug
",0,None,70,0,notspecified,active,At least within 4 months
frp,FRP Advisory Trading Limited,N/A,annually,N/A,0,0,"110 Cannon Street, London, EC4N 6EU",0,0,GB-COH-12315855,N/A,0,0,GB,"FRP specialise in forensics, corporate finance, debt, restructuring and pensions, delivering strategic solutions across a broad range of situations. 

Working across the board, from multinational organisations to small enterprises, we develop effective strategies for all kinds of businesses. ",0,0,N/A,70,No,uk-ogl,active,0
coar_global,COAR Global Limited,0,not_specified,0,0,0,0,0,0,CY-DRCOR-HE383781,0,0,0,CY,0,0,0,0,70,0,other-at,active,0
